appid,name,type,mac_available,windows_available,linux_available,release_date,publishers,developers,genres,categories,price_initial,description,recommendation_total,metacritic,num_achievements,review_score,review_score_desc,total_positive,total_negative,total_reviews
2483190,Forza Horizon 6,game,False,True,False,"May 18, 2026",['Xbox Game Studios'],['Playground Games'],"Racing,Simulation,Sports","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Chat Text-to-speech,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Playable without Timed Input,Stereo Sound,Surround Sound,HDR available,Family Sharing",6999.0,Discover the breathtaking landscapes of Japan in over 550 real-world cars and become a racing Legend in Forza Horizon's biggest open world driving adventure yet.,69758.0,,57.0,8,Very Positive,29204,4564,33768
4165870,Steam Controller,hardware,True,True,True,"May 4, 2026",['Valve'],['Valve'],,,9900.0,"Your games at your fingertips All the inputs to play all the games on Steam, wherever Steam is",,,,0,No user reviews,0,0,0
2694490,Path of Exile 2,game,False,True,False,"Dec 6, 2024",['Grinding Gear Games'],['Grinding Gear Games'],"Action,Adventure,Massively Multiplayer,RPG,Early Access","Single-player,Multi-player,MMO,Co-op,Online Co-op,Full controller support,HDR available",2999.0,"Path of Exile 2 is a next generation Action RPG from Grinding Gear Games, featuring co-op for up to six players. Set years after the original Path of Exile, you will return to the dark world of Wraeclast and seek to end the corruption that is spreading.",161344.0,,,6,Mostly Positive,72117,21793,93910
281990,Stellaris,game,True,True,True,"May 9, 2016",['Paradox Interactive'],['Paradox Development Studio'],"Simulation,Strategy","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Family Sharing",4999.0,"Explore a galaxy full of wonders in this sci-fi grand strategy game from Paradox Development Studios. Interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. Each new adventure holds almost limitless possibilities.",141131.0,78.0,219.0,8,Very Positive,65482,10332,75814
3513350,Wuthering Waves,game,False,True,False,"Apr 28, 2025",['KURO GAMES'],['KURO GAMES'],"Action,Adventure,RPG,Free To Play","Single-player,In-App Purchases,Partial Controller Support,Family Sharing",,"Wuthering Waves is a story-rich open-world action RPG with a high degree of freedom. You wake from your slumber as Rover, joined by a vibrant cast of Resonators on a journey to reclaim your lost memories and change the world.",,,,0,No user reviews,0,0,0
2958130,Jurassic World Evolution 3,game,False,True,False,"Oct 21, 2025",['Frontier Developments'],['Frontier Developments'],"Simulation,Strategy","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Camera Comfort,Color Alternatives,Custom Volume Controls,Playable without Timed Input,Save Anytime,Stereo Sound,Subtitle Options,Surround Sound,Steam Cloud,HDR available,Family Sharing",5999.0,"Build your own Jurassic World. Nurture generations of dinosaurs with the series debut of juveniles, create and manage sprawling prehistoric parks around the globe, and let your imagination roar with powerful new creative options.",9383.0,81.0,45.0,8,Very Positive,5739,393,6132
1172470,Apex Legends™,game,False,True,False,"Nov 4, 2020",['Electronic Arts'],['Respawn'],"Action,Adventure,Free To Play","Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Chat Speech-to-text,Playable without Timed Input",,"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.",1577.0,88.0,12.0,6,Mostly Positive,823,217,1040
1462040,FINAL FANTASY VII REMAKE INTERGRADE,game,False,True,False,"Jun 17, 2022",['Square Enix'],['Square Enix'],"Action,Adventure,RPG","Single-player,Steam Achievements,Steam Trading Cards,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Stereo Sound,Surround Sound,Partial Controller Support,Steam Cloud,Family Sharing",3999.0,"Cloud Strife, an ex-SOLDIER operative, descends on the mako-powered city of Midgar. The world of the timeless classic FINAL FANTASY VII is reborn, using cutting-edge graphics technology, a new battle system and an additional adventure featuring Yuffie Kisaragi.",39403.0,,63.0,8,Very Positive,16705,2438,19143
3483510,The Adventures of Elliot: The Millennium Tales,game,False,True,False,"Jun 18, 2026",['Square Enix'],"['Square Enix', 'Claytechworks']","Action,Adventure,RPG","Single-player,Multi-player,Steam Achievements,Full controller support,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Stereo Sound,Steam Cloud,Family Sharing",5999.0,A brand-new action RPG from the creators of OCTOPATH TRAVELER and BRAVELY DEFAULT – The Adventures of Elliot: The Millennium Tales combines stunning HD-2D visuals and exciting action-adventure gameplay for the first time!,,,,0,No user reviews,0,0,0
4162040,Zenless Zone Zero,game,False,True,False,"Jun 16, 2026",['COGNOSPHERE PTE. LTD.'],['COGNOSPHERE PTE. LTD.'],"Action,Adventure,RPG,Free To Play","Single-player,In-App Purchases,Partial Controller Support,Family Sharing",,"Zenless Zone Zero is HoYoverse’s brand-new urban fantasy ARPG. Players act as &quot;Proxies&quot; who explore Hollows alongside a wide range of unique Agents, fighting enemies, and completing commissions on their journey to unveil the mysteries behind New Eridu.",,,,0,No user reviews,0,0,0
3844970,Burglin' Gnomes,game,False,True,False,"Jun 10, 2026",['Fobri'],['Fobri'],"Action,Adventure","Single-player,Multi-player,Co-op,Online Co-op,Playable without Timed Input,Stereo Sound,Steam Cloud,Family Sharing",999.0,"An online Co-op game about breaking into houses and causing havoc as a tiny gnome. Avoid danger, repurpose stolen household items, and complete tasks to meet the High-Gnome’s demands. Craft equipment and upgrade your home to make your missions easier and more successful.",1805.0,,,8,Very Positive,830,161,991
3768760,007 First Light,game,False,True,False,"May 26, 2026",['IO Interactive A/S'],['IO Interactive A/S'],"Action,Adventure","Single-player,Steam Achievements,Full controller support,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Subtitle Options,Steam Cloud,Family Sharing",6999.0,"Earn the Number. 007 First Light is a thrilling espionage action-adventure game from IO Interactive. Follow James Bond as a young, resourceful and sometimes reckless recruit in MI6's training programme, and discover an origin story of the world’s most famous spy.",25102.0,84.0,37.0,8,Very Positive,12851,1298,14149
4791830,Dead by Daylight: Jason,dlc,False,True,False,"Jun 16, 2026",,['Behaviour Interactive Inc.'],Action,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Downloadable Content,Steam Achievements,Steam Trading Cards,Color Alternatives,Stereo Sound,Subtitle Options,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Family Sharing",499.0,"THE SLASHER No matter where you run, Jason is never far away. Relentless, vicious, and brutally creative, the masked slasher will never run out of inventive ways to kill. It’s all fun and games until a piece of scrap metal bursts through your chest.",786.0,,,8,Very Positive,287,40,327
359550,Tom Clancy's Rainbow Six Siege,game,False,True,False,"Dec 1, 2015",['Ubisoft'],['Ubisoft Montreal'],"Action,Free To Play","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Full controller support,Steam Trading Cards,In-App Purchases,Remote Play on Phone,Remote Play on Tablet",,"Tom Clancy's Rainbow Six Siege is an elite, tactical team-based shooter where superior planning and execution triumph.",1244732.0,,48.0,8,Very Positive,529520,110736,640256
3472040,NBA 2K26,game,False,True,False,"Sep 4, 2025",['2K'],['Visual Concepts'],Sports,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,In-App Purchases,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Stereo Sound,Surround Sound,Partial Controller Support,Steam Cloud,Remote Play Together,Family Sharing",7999.0,"Bragging rights are on the line in MyCAREER, MyTEAM, MyNBA, The W, and Play Now. Showcase your bag of moves with hyper realism, Powered by ProPLAY™, and challenge your friends, or rivals, in NBA 2K26’s competitive modes—and leave no doubt that you wear the crown.",20798.0,,48.0,6,Mostly Positive,8210,3070,11280
